id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share
0,Biking,8869.41,3240.0,374,117.73749568816834,173,77,418.31031380870826,483.20001220703125,357.0,245.80001831054688,208.20001220703125,,4,434.4499931335449,27.800003051757812,0.013180365730694291,0.0014860476323334123
1,Biking,23255.08,4364.0,585,114.49647390691115,150,80,707.0791268278159,827.5999755859375,672.7999877929688,241.80023193359375,232.6002197265625,5159,4,728.4000015258789,36.600006103515625,0.16531076682131643,0.0071085873203324355
3,Biking,14747.77,2446.0,336,120.25573921028466,173,77,832.2349653230924,916.4000244140625,796.2000122070312,244.19989013671875,248.19989013671875,2443,4,827.1000061035156,13.100006103515625,0.01870972018729793,0.0012686474082046254
6,Biking,30477.19,9969.0,1068,116.92437189134039,158,63,568.1292177231211,661.4000244140625,472.20001220703125,1427.4000549316406,1431.8000793457031,,28,569.1571448189871,17.307145254952566,0.1063239529371974,0.003488640289252303
7,Biking,27463.65,4020.0,308,108.4029935046597,150,77,594.3774639863276,1403.0,420.3999938964844,290.79974365234375,1233.19970703125,3368,8,549.0249977111816,5.200004577636719,0.015068425251040483,0.0005486679757075437
8,Biking,94915.88,17112.0,2195,132.13703645995636,190,71,533.7673600333078,901.0,372.79998779296875,1458.1999816894531,1443.7999877929688,16132,11,526.6545479514382,66.87272782759233,0.09036408391181058,0.0009520438930957663
10,Biking,5007.530000000001,4913.0,441,,,,1156.6375500114596,1416.5999755859375,894.7999877929688,521.7999877929688,519.5999755859375,,3,1050.4333190917969,155.1333211263021,0.0102172955130155,0.002040386280864118
11,Biking,29589.989999999998,6691.0,2049,179.62863968941318,188,122,259.7451095729154,305.0,204.39999389648438,501.6001281738281,505.6001281738281,,12,263.84999974568683,4.533334096272786,0.004213522272452901,0.00014239688058201107
13,Biking,38554.61,6840.0,1231,142.23702474351236,187,99,520.2503318671512,771.0,385.20001220703125,671.5999755859375,811.0,7228,7,572.6999991280692,26.17142595563616,0.03838936203143709,0.0009957139245199754
14,Biking,16994.7,1756.0,259,132.66018845700825,182,77,439.9724381697332,522.5999755859375,388.79998779296875,152.79995727539062,236.7999267578125,2537,4,438.14999771118164,11.099998474121094,0.01802516483173174,0.001060634482028617
