id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share,number_of_intervalsPower,min_durationPower,max_durationPower,avg_durationPower,min_distancePower,max_distancePower,avg_distancePower,number_of_intervalsHeart,min_duration_intervalHeart,max_duration_intervalHeart,avg_duration_intervalHeart,min_distance_intervalHeart,max_distance_intervalHeart,avg_distance_intervalHeart,min_heartrate_intervalHeart,max_heartrate_intervalHeart,avg_heartrate_intervalHeart
1,Other,7465.04,6141.0,784,139.04455782312925,177,99,1082.9579593788199,1503.0,563.0,835.3999633789062,951.7999267578125,,2,1049.0999908447266,397.3999938964844,0.005650766195861217,0.0007569639540928404,4,0.0,3155.0,808.0,0.0,2703.260058403015,722.9325683116913,2,816.0,1986.0,1401.0,812.7099761962891,1411.43994140625,1112.0749588012695,156.59436336185203,157.61349693251535,157.1039301471837
7,Other,5944.48,5461.0,738,117.1128685803554,165,77,966.9374848067505,1310.4000244140625,652.4000244140625,656.0000610351562,676.4000854492188,,2,971.6000061035156,300.70001220703125,0.0017094798013705384,0.0002875743212813465,5,0.0,1339.0,479.8,0.0,1565.5799560546875,503.1899658203125,3,53.0,1479.0,903.6666666666666,48.89990234375,1729.760009765625,815.7732747395834,126.62962962962963,149.39595719381688,136.55267308529298
18,Other,6623.82,5116.0,440,105.45514511873351,145,80,662.2019787186997,836.5999755859375,479.3999938964844,375.0000915527344,331.80010986328125,,2,660.5999984741211,170.40000915527344,0.002851874324291142,0.0004305482824550097,8,0.0,1162.0,268.0,0.0,1451.6900024414062,365.7600277662277,3,0.0,2015.0,692.3333333333334,0.0,2602.2100219726562,902.2433369954427,105.73015873015873,124.17906746031746,111.96974206349206
38,Other,11648.69,8709.0,656,105.38400488400488,149,70,921.739498152401,1306.800048828125,519.0,800.2000122070312,800.6000366210938,,2,904.0000305175781,384.70001220703125,0.0044158931501454305,0.00037908924953324627,14,0.0,931.0,294.42857142857144,0.0,872.5400390625,335.5063945225307,5,0.0,4485.0,1059.4,0.0,4763.35986328125,1198.7101043701173,105.61688311688312,117.87951807228916,111.19007694113115
60,Other,11311.31,8865.0,877,107.1513958067879,149,76,934.4533536149441,1293.0,528.7999877929688,847.7999267578125,850.199951171875,,4,926.1000213623047,187.0500030517578,0.0040255885991071615,0.0003558905731614784,13,0.0,1246.0,258.84615384615387,0.0,1230.7900390625,289.4961371788612,3,99.0,4082.0,1429.0,154.41999435424805,4291.3101806640625,1537.2202796936035,119.42,127.38224911749874,123.36710484601984
82,Other,14227.170000000002,17806.0,1304,107.37520281233098,144,71,1009.2153736091808,1515.0,429.79998779296875,1309.198974609375,1344.3989562988281,,9,950.3555552164713,117.68890041775174,0.01981153802665026,0.0013925143248200629,21,0.0,1675.0,338.95238095238096,0.0,1441.150390625,280.02768961588544,5,21.0,6166.0,1816.4,23.5498046875,5345.92978477478,1613.679902267456,103.23893805309734,124.00878477306003,115.25338670105218
99,Other,15222.23,4591.0,0,147.52258211678833,175,92,1072.9084398589864,1458.0,589.2000122070312,1223.2003173828125,361.20025634765625,,11,1148.5636402476919,78.89090798117898,0.04865015938490598,0.0031959942390113656,22,6.0,573.0,154.5909090909091,47.640625,2615.6201171875,555.9290660511364,6,31.0,1243.0,533.6666666666666,97.81005859375,3352.650390625,1614.5584818522136,150.14545454545456,161.38297872340425,153.7108442965005
102,Other,13003.09,12532.0,1456,148.8709489051095,179,107,1211.6542719632973,1541.800048828125,648.7999877929688,1142.2006225585938,1159.0006103515625,,8,1344.3999977111816,112.05001831054688,0.0047283217560535,0.0003636306259553306,17,0.0,3981.0,518.4117647058823,0.0,3337.2299511432648,455.4940670939053,13,8.0,2525.0,537.3846153846154,38.64990234375,1942.6500244140625,552.4906671964205,145.3244680851064,159.65862573099415,152.83606444222772
140,Other,2190.43,3131.0,293,134.28334648776638,180,87,799.1129450989973,828.5999755859375,750.4000244140625,336.19989013671875,325.19989013671875,,5,781.4599975585937,15.15999755859375,0.0036259834084884767,0.0016553751585252565,9,0.0,395.0,154.55555555555554,0.0,274.30999755859375,123.25889142354329,6,66.0,268.0,180.0,101.739990234375,205.219970703125,172.10663477579752,145.09333333333333,164.89864864864865,156.54775413921098
198,Other,4560.89,2722.0,573,143.85722315907813,175,81,1201.9792017987634,1301.5999755859375,1067.199951171875,433.7999267578125,435.0,,4,1124.249984741211,34.600006103515625,0.0047798103152424404,0.0010479994727437933,4,6.0,703.0,471.25,12.31005859375,770.320068359375,542.7575421333313,6,0.0,784.0,282.1666666666667,0.0,789.7800216674805,383.57665888468426,140.67903930131004,162.43624161073825,150.8732103619577
